"Source Name","Program Name",Date/Time,"Data Source"
SOFTWARE,"Microsoft Lync MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:05 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Office Shared 32-bit MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:04 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft InfoPath MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:03 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Access MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:02 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Access Setup Metadata MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:02 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Office Shared Setup Metadata MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:01:01 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Microsoft Office Shared MUI (English) 2013 v.15.0.4420.1017","2015-03-22 15:00:59 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,AddressBook,"2009-07-14 04:53:26 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Connection Manager","2009-07-14 04:53:26 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,DirectDrawEx,"2009-07-14 04:53:26 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,Fontcore,"2009-07-14 04:53:26 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,IE40,"2009-07-14 04:53:26 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,IE4Data,"2009-07-14 04:53:26 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,IE5BAKEX,"2009-07-14 04:53:26 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,IEData,"2009-07-14 04:53:26 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,MobileOptionPack,"2009-07-14 04:53:26 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,SchedulingAgent,"2009-07-14 04:53:26 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,WIC,"2009-07-14 04:53:26 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Google Drive v.1.20.8672.3137","2015-03-23 20:02:46 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Apple Software Update v.2.1.3.127","2015-03-23 20:01:01 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Apple Application Support v.3.0.6","2015-03-23 20:00:45 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Google Update Helper v.1.3.26.9","2015-03-22 15:16:03 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Google Chrome v.41.0.2272.101","2015-03-22 15:11:51 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,AddressBook,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,"Connection Manager","2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,DirectDrawEx,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,Fontcore,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,IE40,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,IE4Data,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,IE5BAKEX,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,IEData,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,MobileOptionPack,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,SchedulingAgent,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
SOFTWARE,WIC,"2009-07-14 04:53:25 PDT","cfreds_2015_data_leakage_pc.E01"
